Handle,SEO Title,SEO Description,Product Category
soft-nitrile-powder-free-gloves-3-5-mil-extra-large-2000-case-10-boxes,"Soft Nitrile, Powder Free Gloves, 4 mil thick | Laguna Scientific","Soft Nitrile, Powder Free Gloves, 4 mil thick from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
soft-nitrile-powder-free-gloves-3-5-mil-large-2000-case-10-boxes,"Soft Nitrile, Powder Free Gloves, 4 mil thick | Laguna Scientific","Soft Nitrile, Powder Free Gloves, 4 mil thick, Large from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
soft-nitrile-powder-free-gloves-3-5-mil-medium-2000-case-10-boxes,"Soft Nitrile, Powder Free Gloves, 4 mil thick | Laguna Scientific","Soft Nitrile, Powder Free Gloves, 4 mil thick, Medium from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
soft-nitrile-powder-free-gloves-3-5-mil-small-2000-case-10-boxes,"Soft Nitrile, Powder Free Gloves, 4 mil thick | Laguna Scientific","Soft Nitrile, Powder Free Gloves, 4 mil thick from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
soft-nitrile-powder-free-gloves-3-5-mil-extra-small-2000-case-10-boxes,"Soft Nitrile, Powder Free Gloves, 4 mil thick | Laguna Scientific","Soft Nitrile, Powder Free Gloves, 4 mil thick from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
nitrile-gloves-powder-free-4-0-mil-extra-small-2000-case,"Nitrile Gloves, Powder Free, 4.0 mil, Extra Small | Laguna Scientific","Nitrile Gloves, Powder Free, 4.0 mil, Extra Small, 1000/case from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
nitrile-gloves-powder-free-4-0-mil-extra-large-2000-case,"Nitrile Gloves, Powder free, 4.0 mil, Extra Large | Laguna Scientific","Nitrile Gloves, Powder free, 4.0 mil, Extra Large, 1000/case from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
nitrile-gloves-powder-free-4-0-mil-large-1000-case,"Nitrile Gloves, Powder Free, 4.0 mil, Large | Laguna Scientific","Nitrile Gloves, Powder Free, 4.0 mil, Large, 1000/case from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
nitrile-gloves-powder-free-4-0-mil-medium-1000-case,"Nitrile Gloves, Powder Free, 4.0 mil, Medium | Laguna Scientific","Nitrile Gloves, Powder Free, 4.0 mil, Medium, 1000/case from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
nitrile-gloves-powder-free-4-0-mil-small-1000-case,"Nitrile Gloves, Powder Free, 4.0 mil, Small | Laguna Scientific","Nitrile Gloves, Powder Free, 4.0 mil, Small, 1000/case from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
disposable-latex-gloves-powder-free-1000-case-10-boxes-extra-large,"Disposable Latex Gloves, Powder-Free | Laguna Scientific","Disposable Latex Gloves, Powder-Free, 1000/case (10 boxes) from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
disposable-latex-gloves-powder-free-1000-case-10-boxes-large,"Disposable Latex Gloves, Powder-Free | Laguna Scientific","Disposable Latex Gloves, Powder-Free, 1000/case (10 boxes) from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
disposable-latex-gloves-powder-free-1000-case-10-boxes-medium,"Disposable Latex Gloves, Powder-Free | Laguna Scientific","Disposable Latex Gloves, Powder-Free, 1000/case (10 boxes) from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
disposable-latex-gloves-powder-free-1000-case-10-boxes-small,"Disposable Latex Gloves, Powder-Free | Laguna Scientific","Disposable Latex Gloves, Powder-Free, 1000/case (10 boxes) from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
disposable-latex-gloves-powder-free-1000-case-10-boxes-extra-small,"Disposable Latex Gloves, Powder-Free | Laguna Scientific","Disposable Latex Gloves, Powder-Free from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
2-0-ml-screw-cap-tubes-sterile-500-bag,1.5 ml Attached Screw cap tubes with Silicone | Laguna Scientific,1.5 ml Attached Screw cap tubes with Silicone Gasket from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
2-0-ml-microcentrifuge-tubes-500-bag-1,2.0 ml Microcentrifuge Tubes 500/bag | Laguna Scientific,2.0 ml Microcentrifuge Tubes 500/bag from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
0-5-ml-microcentrifuge-tubes-1000-bag-1,0.5 ml Microcentrifuge Tubes 1000/bag | Laguna Scientific,0.5 ml Microcentrifuge Tubes 1000/bag from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
1-7-ml-microcentrifuge-tubes-1000-bag-1,1.7 ml Microcentrifuge Tubes 1000/bag | Laguna Scientific,1.7 ml Microcentrifuge Tubes 1000/bag from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
fastpette-pro-ultimate-pipette-controller-copy,AccuPette Motorized Pipette Controller | Laguna Scientific,AccuPette Motorized Pipette Controller from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes
ztest-prod2,ZTEST-PROD2 | Laguna Scientific,"ZTEST-PROD2 from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
ztest-prod1,ZTEST-PROD1 | Laguna Scientific,"ZTEST-PROD1 from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
z326-15-a7,Optional 7ml adapter for Sprint™8 Plus | Laguna Scientific,Optional 7ml adapter for Sprint™8 Plus from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies
z326-15-a5,Optional 5ml adapter for Sprint™8 Plus | Laguna Scientific,Optional 5ml adapter for Sprint™8 Plus from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies
t5000-a-is,T5000-A-IS | Laguna Scientific,"T5000-A-IS from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
t5000-384,T5000-384 | Laguna Scientific,"T5000-384 from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
sb0012-t5,Optional rack for 0.5 ml microtubes | Laguna Scientific,"Optional rack for 0.5 ml microtubes from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
sb0012-t1520,Optional rack for 1.5/2.0 ml microtubes | Laguna Scientific,Optional rack for 1.5/2.0 ml microtubes from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
r4045-rp2,R4045-RP2 | Laguna Scientific,"R4045-RP2 from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
r4045,R4045 | Laguna Scientific,"R4045 from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
r4040-rp,R4040-RP | Laguna Scientific,"R4040-RP from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
r4040-hz50,R4040-HZ50 | Laguna Scientific,"R4040-HZ50 from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
r4040-hz15,R4040-HZ15 | Laguna Scientific,"R4040-HZ15 from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
r4040-500,R4040-500 | Laguna Scientific,"R4040-500 from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
r4040-1520,R4040-1520 | Laguna Scientific,"R4040-1520 from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
r4040-150,R4040-150 | Laguna Scientific,"R4040-150 from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
r4040,RotoBotâ Mini Programmable Rotator | Laguna Scientific,RotoBotâ Mini Programmable Rotator from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Equipment
r3010,TubeRoller with 10 rollers | Laguna Scientific,"TubeRoller with 10 rollers from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
r3005,TubeRoller with 5 rollers | Laguna Scientific,"TubeRoller with 5 rollers from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
r2024,"Roto-Mini™ Plus Rotator, Variable Speed | Laguna Scientific","Roto-Mini™ Plus Rotator, Variable Speed from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Equipment
r2020-rp,Mini rocking platform with rubber mat | Laguna Scientific,Mini rocking platform with rubber mat from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies
r2020-pcr,"Tube holder, 96 x 0.2ml, 12 x PCR strips or one PCR | Laguna Scientific","Tube holder, 96 x 0.2ml, 12 x PCR strips or one PCR plate from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
r2020-500,"Tube holder, 6 x 50ml (and 24 x 0.5ml) | Laguna Scientific","Tube holder, 6 x 50ml (and 24 x 0.5ml), 1 each (included) from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
r2020-1520,"Tube holder, 11 x 1.5/2.0ml, 2/pk (1 pack included) | Laguna Scientific","Tube holder, 11 x 1.5/2.0ml, 2/pk (1 pack included) from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
r2020-150,"Tube holder, 5 x 10-15ml, 2/pk (1 pack included) | Laguna Scientific","Tube holder, 5 x 10-15ml, 2/pk (1 pack included) from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
r2020-0507,"Tube holder, 5 x 5-7ml, 2/pk (1 pack included) | Laguna Scientific","Tube holder, 5 x 5-7ml, 2/pk (1 pack included) from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
r2020,"RotoMini™ Tube Rotator, Fixed Speed | Laguna Scientific","RotoMini™ Tube Rotator, Fixed Speed from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
r1000,CoolCube™ Microtube and PCR Plate Cooler | Laguna Scientific,CoolCube™ Microtube and PCR Plate Cooler from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
m2100,Benchmark Scientific M2100 Tube Rocker for | Laguna Scientific,Benchmark Scientific M2100 Tube Rocker for Laboratory Tubes from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
ips7101-group,Benchmark™ Industrial High-Capacity Stirrers | Laguna Scientific,Benchmark™ Industrial High-Capacity Stirrers from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Equipment
ips7101-50,50 Liter Industrial High Capacity Stirrer | Laguna Scientific,50 Liter Industrial High Capacity Stirrer from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Equipment
ips7101-150,150 Liter Industrial High Capacity Stirrer | Laguna Scientific,150 Liter Industrial High Capacity Stirrer from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Equipment
ips7000-5,Industrial 5i-Position Hotplate Stirrer | Laguna Scientific,Industrial 5i-Position Hotplate Stirrer from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Equipment
ips7000-10,Industrial 10-Position Hotplate Stirrers | Laguna Scientific,Industrial 10-Position Hotplate Stirrers from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Equipment
ips2050-p-t4,"4 Arm Propeller, PTFE | Laguna Scientific","4 Arm Propeller, PTFE from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
ips2050-p-t3,"Paddle w/flat holes, PTFE | Laguna Scientific","Paddle w/flat holes, PTFE from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
ips2050-p-t2,"Centrifugal impeller, PTFE | Laguna Scientific","Centrifugal impeller, PTFE from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
ips2050-p-t1,"One line propeller, PTFE | Laguna Scientific","One line propeller, PTFE from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
ips2050-p-s4,"4 Arm Propeller, Stainless Steel | Laguna Scientific","4 Arm Propeller, Stainless Steel from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
ipd9600-ck,"Cryo Kit, contains bucket, gloves, goggles and tongs | Laguna Scientific","Cryo Kit, contains bucket, gloves, goggles and tongs from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
ipd9600-bd5,96 well ball dropper for 5mm balls | Laguna Scientific,"96 well ball dropper for 5mm balls from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
ipd9600-bd4,96 well ball dropper for 4mm balls | Laguna Scientific,"96 well ball dropper for 4mm balls from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
ipd9600-bd28,96 well ball dropper for 2.8mm balls | Laguna Scientific,96 well ball dropper for 2.8mm balls from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies
ipd9600-96a2,"Tube rack for 96 well adapter 20 x 2.0ml, pack of 2 | Laguna Scientific","Tube rack for 96 well adapter 20 x 2.0ml, pack of 2 from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
ipd9600-96,"Tube rack for 96 well adapter 20 x 2.0ml, pack of 2 | Laguna Scientific","Tube rack for 96 well adapter 20 x 2.0ml, pack of 2 from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
ipd9600-50t,"Adapter for 4x50ml tubes, set of 2 | Laguna Scientific","Adapter for 4x50ml tubes, set of 2 from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
ipd9600-50g,"Replacement gasket for IPD9600-50S, each | Laguna Scientific","Replacement gasket for IPD9600-50S, each from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
ipd9600-4pc,"4ml polycarbonate vial, bag of 240 | Laguna Scientific","4ml polycarbonate vial, bag of 240 from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
ipd9600-48,"Adapter for 48/4ml PC or PE vials, set of 2 | Laguna Scientific","Adapter for 48/4ml PC or PE vials, set of 2, aluminum from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
ipd9600-3858-1,"Ceramic grinding bars 3/8X5/8, 45° | Laguna Scientific","Ceramic grinding bars 3/8X5/8, 45° from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Equipment
ipd9600-35zo,"Zirconium Oxide jar 35ml, set of 2 | Laguna Scientific","Zirconium Oxide jar 35ml, set of 2 from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
ipd9600-25bs,"25mm stainless steel grinding ball, each | Laguna Scientific","25mm stainless steel grinding ball, each from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
ipd9600-10bs,"10mm stainless steel grinding ball, each | Laguna Scientific","10mm stainless steel grinding ball, each from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h6004,Incu-mixer™ MP Heated Microplate Vortexer Series | Laguna Scientific,Incu-mixer™ MP Heated Microplate Vortexer Series from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Equipment
h6002,Incu-mixer™ MP Heated Microplate Vortexer | Laguna Scientific,"Incu-mixer™ MP Heated Microplate Vortexer, 2 position from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Equipment
h5100-hl,Heated lid for MultiTherm Touch | Laguna Scientific,"Heated lid for MultiTherm Touch from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h5100-cmb,"Combination block, 15x0.5ml and 20x1.5ml | Laguna Scientific","Combination block, 15x0.5ml and 20x1.5ml from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h5100-500,"Block, 4x50ml | Laguna Scientific","Block, 4x50ml from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h5100-20,"Block, 35x2ml | Laguna Scientific","Block, 35x2ml from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h5100-150,"Block, 8x15ml | Laguna Scientific","Block, 8x15ml from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h5100-15,"Block, 35x1.5ml | Laguna Scientific","Block, 35x1.5ml from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h5100-05,"Block, 35x0.5ml | Laguna Scientific","Block, 35x0.5ml from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h5000-wb,"Block, for liquids, beads, etc. (chamber: 4 x 2.6 x | Laguna Scientific","Block, for liquids, beads, etc. (chamber: 4 x 2.6 x 1"") from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h5000-mp,"Block, 1 x microplate (Ambi.-10° to 60°C) | Laguna Scientific","Block, 1 x microplate (Ambi.-10° to 60°C) from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h5000-dwmp,"Block, 1 x deep well microplate (max. height, 54 mm) | Laguna Scientific","Block, 1 x deep well microplate (max. height, 54 mm) from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h5000-cu,"Block, custom drilled, for tubes/vials up to 40 mm | Laguna Scientific","Block, custom drilled, for tubes/vials up to 40 mm tall from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
h5000-cmb,"Block, combination, 15 x 0.5 ml & 20 x 1.5 ml | Laguna Scientific","Block, combination, 15 x 0.5 ml & 20 x 1.5 ml from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h5000-5mt,"Block, 15 x 5 ml centrifuge tubes (conical) | Laguna Scientific","Block, 15 x 5 ml centrifuge tubes (conical) from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
h5000-500,"Block, 6 x 50 ml (200-750 rpm/Ambi.-10° to 100°C) | Laguna Scientific","Block, 6 x 50 ml (200-750 rpm/Ambi.-10° to 100°C) from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h5000-20,"Block, 35 x 2.0 ml | Laguna Scientific","Block, 35 x 2.0 ml from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h5000-150,"Block, 12 x 15 ml (200-750 rpm/Ambi.-10°C to 100°C) | Laguna Scientific","Block, 12 x 15 ml (200-750 rpm/Ambi.-10°C to 100°C) from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h5000-15,"Block, 35 x 1.5 ml | Laguna Scientific","Block, 35 x 1.5 ml from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h5000-1232,"Block, 24 x 2 ml HPLC / Autosampler vials (12 x 28 | Laguna Scientific","Block, 24 x 2 ml HPLC / Autosampler vials (12 x 28 mm) from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h5000-12,"Block, 24 x 12 mm (200-1200 rom/Ambi.-10°C to 100°C) | Laguna Scientific","Block, 24 x 12 mm (200-1200 rom/Ambi.-10°C to 100°C) from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h5000-05,"Block, 54 x 0.5 ml | Laguna Scientific","Block, 54 x 0.5 ml from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h5000-02,"Block, 96 x 0.2 ml or 1 PCR | Laguna Scientific","Block, 96 x 0.2 ml or 1 PCR from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h4000-s,Benchmark Magnetic Stirrer | Laguna Scientific,"Benchmark Magnetic Stirrer from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Equipment
h4000-hs,Hotplate Magnetic Stirrer | Laguna Scientific,"Hotplate Magnetic Stirrer from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Equipment
h4000-h,Benchmark Hotplate | Laguna Scientific,"Benchmark Hotplate from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
h3d1020,"Mini nutating rocker, 6x8"" platform,115V | Laguna Scientific","Mini nutating rocker, 6x8"" platform,115V from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Equipment
h3770-s,Benchmark Digital Magnetic Stirrer | Laguna Scientific,"Benchmark Digital Magnetic Stirrer from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Equipment
